ncit_code	n_support	lineage_purity	lineage	primary_disease	subtype	oncotree_code
C199241	1	1.00	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	BLL
C207229	5	1.00	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	PAAD
C208352	1	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C26687	1	1.00	Uterus	Endometrial Carcinoma	Endometrial Carcinoma	UCEC
C27291	2	1.00	Bone	Ewing Sarcoma	Ewing Sarcoma	ES
C27394	1	1.00	Vulva/Vagina	Mucosal Melanoma of the Vulva/Vagina	Mucosal Melanoma of the Vulva/Vagina	VMM
C27418	1	1.00	Ampulla of Vater	Ampullary Carcinoma	Ampullary Carcinoma	AMPCA
C27502	1	1.00	Bone	Chondrosarcoma	Extraskeletal Myxoid Chondrosarcoma	EMCHS
C27676	12	1.00	Cervix	Cervical Squamous Cell Carcinoma	Cervical Squamous Cell Carcinoma	CESC
C27677	5	1.00	Cervix	Cervical Adenocarcinoma	Endocervical Adenocarcinoma	ECAD
C27694	9	1.00	Lymphoid	Mature B-Cell Neoplasms	Burkitt Lymphoma	BL
C27769	3	1.00	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma	IHCH
C2897	1	1.00	Prostate	Non-Cancerous	Hyperplasia, Prostate	
C2912	13	1.00	Lymphoid	Mature B-Cell Neoplasms	Burkitt Lymphoma	BL
C2923	7	1.00	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD
C2926	10	1.00	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC
C2946	4	1.00	Bone	Chondrosarcoma	Chondrosarcoma	CHS
C2955	1	1.00	Bowel	Colorectal Adenocarcinoma	Colorectal Adenocarcinoma	COADREAD
C2975	1	1.00	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	PAAD
C2993	4	0.75	Myeloid	Acute Myeloid Leukemia	Myeloid Leukemia Associated with Down Syndrome	MLADS
C3043	3	1.00	Soft Tissue	Fibrosarcoma	Fibrosarcoma	FIBS
C3058	55	1.00	CNS/Brain	Diffuse Glioma	Glioblastoma	GB
C3098	3	1.00	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	HCC
C3146	1	1.00	Skin	Cutaneous Squamous Cell Carcinoma	Cutaneous Squamous Cell Carcinoma	CSCC
C3150	1	1.00	Kidney	Renal Cell Carcinoma	Renal Cell Carcinoma	RCC
C3153	1	1.00	Ovary/Fallopian Tube	Ovarian Cancer, Other	Ovarian Cancer, Other	OOVC
C3163	7	1.00	Lymphoid	Mature B-Cell Neoplasms	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	CLLSLL
C3171	2	1.00	Myeloid	Acute Myeloid Leukemia	Acute Monoblastic/Monocytic Leukemia	AMOL
C3174	13	1.00	Myeloid	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+	CMLBCRABL1
C3182	1	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C3194	4	1.00	Soft Tissue	Liposarcoma	Liposarcoma	LIPO
C3201	1	1.00	Lymphoid	Non-Hodgkin Lymphoma	Mature T and NK Neoplasms	MTNN
C3208	1	1.00	Lymphoid	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	NHL
C3209	1	1.00	Lymphoid	Mature B-Cell Neoplasms	Follicular Lymphoma	FL
C3224	82	0.96	Skin	Melanoma	Melanoma	MEL
C3230	3	1.00	CNS/Brain	Meningothelial Tumor	Meningioma	MNG
C3242	31	1.00	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma	PCM
C3246	1	1.00	Lymphoid	Mature T and NK Neoplasms	Mycosis Fungoides	MYCF
C3247	3	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C3249	1	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C3270	38	1.00	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	NBL
C3273	5	0.80	Peripheral Nervous System	Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor	MPNST
C3288	3	1.00	CNS/Brain	Diffuse Glioma	Oligodendroglioma	ODG
C3339	1	1.00	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	COAD
C3359	2	1.00	Soft Tissue	Rhabdomyosarcoma	Rhabdomyosarcoma	RMS
C3366	2	1.00	Lymphoid	Mature T and NK Neoplasms	Sezary Syndrome	SS
C3400	3	1.00	Soft Tissue	Synovial Sarcoma	Synovial Sarcoma	SYNS
C3407	1	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C34447	4	1.00	Head and Neck	Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma	HNSC
C3457	6	1.00	Lymphoid	Non-Hodgkin Lymphoma	Mature B-Cell Neoplasms	MBN
C3465	2	1.00	Lymphoid	Mature T and NK Neoplasms	Follicular T-Cell Lymphoma	FTCL
C3466	1	1.00	Lymphoid	Non-Hodgkin Lymphoma	Mature T and NK Neoplasms	MTNN
C3467	3	1.00	Lymphoid	Non-Hodgkin Lymphoma	Mature T and NK Neoplasms	MTNN
C3493	32	1.00	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC
C3510	24	1.00	Skin	Melanoma	Cutaneous Melanoma	SKCM
C3512	84	1.00	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD
C35417	25	1.00	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma	IHCH
C35718	1	1.00	Head and Neck	Head and Neck Carcinoma, Other	NUT Midline Carcinoma of the Head and Neck	NMCHN
C35765	1	1.00	Soft Tissue	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	MFH
C35875	1	1.00	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC
C36077	2	1.00	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Extrahepatic Cholangiocarcinoma	EHCH
